,posted,neighborhood,post title,number bedrooms,sqft,URL,price
28,2019-04-26 14:26, (nob hill),"OPEN SUN 12:40-1:15PM  Great 3-2BR/1BA, Shared Laundry",3br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-open-sun-pm-great-3-2br/6875573951.html,3900
29,2019-04-26 14:25, (alamo square / nopa),"Immaculate, Furnished 3bdr/1ba Home in Desirable Nopa! Rentals In SF",3br,1700ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-immaculate-furnished-3bdr/6873968450.html,6495
30,2019-04-26 14:25, (SOMA / south beach),Modern South Beach studio near Cal-Train!,,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-modern-south-beach-studio/6875573703.html,2795
31,2019-04-26 14:24, (glen park),"☀Modern Apt! Awesome View! Near Glen Park BART, Transit & Freeways!☀",1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-modern-apt-awesome-view/6872031181.html,2970
32,2019-04-26 14:23, (nob hill),Nob Hill/645 Stockton/Awesome Views/W/D in unitAvailable Now!!,1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nob-hill-645-stockton/6875572015.html,3995
33,2019-04-26 14:22, (downtown / civic / van ness),"OPEN SUN 12PM-12:30PM Studio, Convenient Location (536 Mason)",,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-open-sun-12pm-1230pm/6875570894.html,1600
34,2019-04-26 14:21, (lower nob hill),OPEN SAT PRIME LOCATION. BRIGHT & CLEAN STUDIO.,,,https://sfbay.craigslist.org/sfc/apa/d/open-sat-prime-location-bright-clean/6875569925.html,1950
35,2019-04-26 14:21, (lower nob hill),OPEN SAT. MUST SEE!!  GREAT LOCATION. BRIGHT & CLEAN STUDIO.,,,https://sfbay.craigslist.org/sfc/apa/d/open-sat-must-see-great-location-bright/6875569728.html,1950
36,2019-04-26 14:20, (SOMA / south beach),"Beautiful 2BR, 1 Bath - Just 2 blocks from BART & EASY Commute",2br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-2br-1-bath-just/6864157833.html,3400
37,2019-04-26 14:20, (north beach / telegraph hill),North Beach/Fishermans Wharf studio apartment,1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-north-beach-fishermans/6875569358.html,2300
38,2019-04-26 14:20, (hayes valley),Hayes Valley/78 Buchanan /Muni/Bart/W/D in unit/Available Now!!,2br,902ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-hayes-valley-78-buchanan/6875569203.html,5395
39,2019-04-26 14:19, (hayes valley),Bright  Central Studio nice open view,,320ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-central-studio/6875568696.html,2200
40,2019-04-26 14:19, (financial district),"*Studio Available w/ Easy Access to FiDi, Embarcadero and Downtown!*",,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-available-easy/6875557750.html,1100
41,2019-04-26 14:19, (SOMA / south beach),"Your San Francisco oasis, modern, convenient & quiet - Azure!",2br,1165ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-your-san-francisco-oasis/6875568009.html,5836
42,2019-04-26 14:18, (SOMA / south beach),"Spacious, Sunlit Oasis in SoMa with courtyard, Internet Included!!!",2br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-sunlit-oasis-in/6875567775.html,3200
43,2019-04-26 14:18, (laurel hts / presidio),2BR/2BA House near Laurel Village on Collins Street,2br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2br-2ba-house-near-laurel/6875566736.html,5500
44,2019-04-26 14:18, (laurel hts / presidio),"1BD/1Bth Beautiful Lake Views St,walk to Presideo",1br,800ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1bd-1bth-beautiful-lake/6875567351.html,3550
