school, nano, level,
 School of Programming ,Dynamic Web Applications with Sinatra,intermediate,
 School of Programming ,The MVC Pattern in Ruby,intermediate,
 School of Programming ,Deploying Applications with Heroku,intermediate,
 School of Programming ,Cyber-Physical Systems Security,intermediate,
 School of Programming ,High Performance Computing,advanced,
 School of Programming ,Java Programming Basics,beginner,
 School of Programming ,Object Oriented Programming in Java,intermediate,
 School of Programming ,HTML5 Canvas,beginner,
 School of Programming ,Configuring Linux Web Servers,advanced,
 School of Programming ,HTTP & Web Servers,intermediate,
 School of Programming ,iOS Persistence and Core Data,advanced,
 School of Programming ,Authentication & Authorization: OAuth,intermediate,
 School of Programming ,Software Analysis & Testing,intermediate,
 School of Programming ,Firebase Analytics: iOS,intermediate,
 School of Programming ,Firebase Analytics: Android,intermediate,
 School of Programming ,ES6 - JavaScript Improved,advanced,
 School of Programming ,Passwordless Login Solutions for Android,intermediate,
 School of Programming ,Mobile Design and Usability for Android,intermediate,
 School of Data Science ,Intro to Data Science,intermediate,
 School of Artificial Intelligence ,Real-Time Analytics with Apache Storm,intermediate,
 School of Programming ,Designing RESTful APIs,intermediate,
 School of Programming ,Human-Computer Interaction,intermediate,
 School of Programming ,Introduction to Graduate Algorithms,advanced,
 School of Data Science ,Data Analysis and Visualization,intermediate,
 School of Programming ,2D Game Development with libGDX,intermediate,
 School of Programming ,How to Make a Platformer Using libGDX,intermediate,
 School of Programming ,Engagement & Monetization | Mobile Games,beginner,
 School of Artificial Intelligence ,Knowledge-Based AI: Cognitive Systems,advanced,
 School of Programming ,iOS Networking with Swift,advanced,
 School of Programming ,Computer Networking,intermediate,
 School of Programming ,GitHub & Collaboration,beginner,
 School of Programming ,Intro to Information Security,intermediate,
 School of Artificial Intelligence ,Machine Learning for Trading,intermediate,
 School of Artificial Intelligence ,Data Visualization and D3.js,intermediate,
 School of Business ,Product Design,intermediate,
 Career Advancement ,Intro to Data Structures and Algorithms,intermediate,
 School of Business ,App Monetization,intermediate,
 School of Programming ,JavaScript Testing,intermediate,
 School of Programming ,Grand Central Dispatch (GCD),intermediate,
 School of Programming ,Intro to iOS App Development with Swift,intermediate,
 School of Programming ,Linux Command Line Basics,beginner,
 School of Artificial Intelligence ,Reinforcement Learning,advanced,
 School of Programming ,How to Make an iOS App,advanced,
 School of Programming ,Localization Essentials,beginner,
 School of Programming ,Intro to DevOps,advanced,
 School of Programming ,Scalable Microservices with Kubernetes,intermediate,
 School of Artificial Intelligence ,Intro to Hadoop and MapReduce,intermediate,
 School of Artificial Intelligence ,Data Analysis with R,intermediate,
 School of Programming ,Object-Oriented JavaScript,intermediate,
 School of Business ,App Marketing,intermediate,
 School of Business ,Rapid Prototyping,intermediate,
 School of Artificial Intelligence ,Deep Learning,intermediate,
 School of Artificial Intelligence ,Machine Learning: Unsupervised Learning,intermediate,
 School of Artificial Intelligence ,Big Data Analytics in Healthcare,intermediate,
 School of Programming ,Xcode Debugging,advanced,
 School of Programming ,How to Use Git and GitHub,beginner,
 School of Programming ,Writing READMEs,beginner,
 School of Programming ,UIKit Fundamentals,intermediate,
 School of Programming ,Intro to JavaScript,beginner,
 School of Programming ,Software Development Process,intermediate,
 School of Business ,Get Your Startup Started,intermediate,
 School of Programming ,How to Install Android Studio,beginner,
Skills Covered,Health Informatics in the Cloud,beginner,
 School of Artificial Intelligence ,Introduction to Computer Vision,intermediate,
 School of Programming ,Intro to Progressive Web Apps,intermediate,
 School of Programming ,Software Architecture & Design,intermediate,
 School of Programming ,Android Performance,advanced,
 School of Artificial Intelligence ,Intro to Descriptive Statistics,beginner,
 School of Programming ,Android Basics: User Interface,beginner,
 School of Programming ,Android Basics: User Input,beginner,
 School of Programming ,Android Basics: Multiscreen Apps,beginner,
 School of Programming ,Android Basics: Networking,beginner,
 School of Programming ,Android Basics: Data Storage,beginner,
 School of Programming ,UX Design for Mobile Developers,beginner,
 School of Programming ,Developing Android Apps,intermediate,
 School of Programming ,Advanced Android App Development,advanced,
 School of Programming ,Browser Rendering Optimization,advanced,
 School of Programming ,Material Design for Android Developers,intermediate,
 School of Programming ,Google Maps APIs,intermediate,
 School of Programming ,Gradle for Android and Java,advanced,
 School of Programming ,Android Auto Development,advanced,
 School of Programming ,Responsive Images,intermediate,
 School of Programming ,Website Performance Optimization,intermediate,
 School of Programming ,Kotlin for Android Developers,advanced,
 School of Programming ,Building High Conversion Web Forms,intermediate,
 School of Programming ,Web Accessibility,advanced,
 School of Programming ,Web Tooling & Automation,intermediate,
 School of Programming ,Responsive Web Design Fundamentals,intermediate,
 School of Programming ,Front End Frameworks,advanced,
 School of Programming ,Client-Server Communication,advanced,
 School of Programming ,JavaScript Promises,advanced,
 School of Programming ,Offline Web Applications,intermediate,
 School of Programming ,Kotlin Bootcamp for Programmers,intermediate,
 School of Programming ,Developing Android Apps with Kotlin,intermediate,
 School of Programming ,Learn Swift Programming Syntax,intermediate,
 School of Programming ,Build Native Mobile Apps with Flutter,intermediate,
Skills Covered,Educational Technology,beginner,
 School of Artificial Intelligence ,Model Building and Validation,advanced,
 School of Programming ,Introduction to Operating Systems,intermediate,
 Career Advancement ,Data Science Interview Prep,intermediate,
 School of Artificial Intelligence ,Linear Algebra Refresher Course,intermediate,
 School of Artificial Intelligence ,Artificial Intelligence,intermediate,
Skills Covered,Computational Photography,intermediate,
 School of Business ,Problem Solving with Advanced Analytics,beginner,
 School of Business ,Creating an Analytical Dataset,beginner,
 School of Business ,Classification Models,intermediate,
 School of Business ,A/B Testing for Business Analysts,intermediate,
 School of Business ,Time Series Forecasting,intermediate,
 School of Business ,Segmentation and Clustering,intermediate,
 School of Autonomous Systems ,Cyber-Physical Systems Design & Analysis,advanced,
 School of Programming ,JavaScript Design Patterns,advanced,
 Career Advancement ,Front-End Interview Prep,intermediate,
